GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
100287102,1.8868894221430716,0.3685688976182884,0.4034359026777898,0.9135748582908141,0.3609402822457417,0.7056667983414276
653635,343.5774400365613,0.025328267988034288,0.10404897640728293,0.24342640228281412,0.8076750927597705,0.936396110158625
102466751,7.156200879196735,0.18494584250375798,0.2622743133247588,0.7051618595784882,0.4807095137601043,0.7881740638177325
107985730,0.5196607526215197,0.5372601517535334,0.7465280812089321,0.7196784223890026,0.47172301462423305,
100996442,17.308118271280897,0.2788134049968907,0.17068971998593127,1.6334516514519521,0.10237404138130785,0.4286429478238765
729737,111.47864748594493,0.25239154061046304,0.2280551013424173,1.1067129791212404,0.26841804201600994,0.6308561845536769
102725121,2.717183640348893,-0.0019982540150421477,0.475077345214829,-0.004206165659485491,0.9966439752558232,0.998709370270164
102723897,373.59428228342284,0.022417667795711915,0.0857982444939198,0.261283525414096,0.7938738702387806,0.9301810438001031
102465909,3.1120133535457764,0.14350776330710766,0.3126991320315338,0.4589324005307305,0.6462827107182181,0.872134022237953
107985721,1.1752108505465355,0.7725550101007014,0.5106728087439513,1.51281798614043,0.13032589883045226,
112268260,6.128715685516251,0.32985942579091904,0.2357464723609143,1.3992125629176888,0.16174925038371468,0.515010677797205
100132287,114.63724214064798,0.22771955547467929,0.11759025110514951,1.9365513155597556,0.05280021401283935,0.33839065235595234
105378947,1.5087705033208973,0.025500421902380957,0.5250424521517136,0.04856830490158629,0.9612633291675906,0.9882141744527098
113219467,243.61367183324026,0.053340898861861,0.20118171476923913,0.2651379074039828,0.790903226100517,0.9292791911871018
81399,3.2241232234641384,0.21958123929014198,0.300365410947912,0.7310470223491237,0.46475043178219577,0.7779772459516162
100133331,154.5135745730168,0.2863296149363696,0.11750091271092913,2.436828858008838,0.01481668998389076,0.2150948874841997
107984841,38.76152958462938,0.27494316250639655,0.15479773396602514,1.7761446208685512,0.07570908327193647,0.3827992145393863
107984847,55.411086822944014,0.24861139246676908,0.12604800632223456,1.972354817189319,0.048569115932869486,0.32913482390059823
107984849,7.807303796294121,0.2758889539280732,0.2628656764448561,1.0495434689661705,0.2939280597230073,0.655309783301096
100288069,63.622119191980545,0.26872873152116866,0.10133628135529575,2.6518511230837176,0.008005183046507597,0.18372782966310003
105378580,17.681907069468394,-0.3211214367021933,0.15748111870577855,-2.039110715882984,0.041438978964914254,0.3093988736893366
400728,8.724765553917537,-0.3753381126601067,0.19682457644703824,-1.906967714273746,0.05652476844935483,0.3465722524141543
79854,21.802404432173457,-0.3520350833658746,0.14963108692415109,-2.3526868019365743,0.018638325421381156,0.2341175548994269
643837,337.9236222633886,-0.008655015117246907,0.04953364942973905,-0.17473001115178485,0.8612917850363817,0.9557294544143624
107984850,0.20117717493903653,0.08583219985986619,1.4815329428252328,0.05793472246130897,0.953800625035454,
284593,0.2815716302957736,-0.13858714972244615,1.1480364325428403,-0.12071668267137037,0.9039154447710337,
284600,0.5670838527698058,-0.29774645518983267,1.09627935368775,-0.2715972477163324,0.7859317159384189,
148398,207.3322169854886,-0.06506479429970155,0.08240586159419071,-0.7895651236572759,0.4297817830218442,0.753719519616185
26155,4139.480316934106,-0.03051908972318122,0.08883052655661934,-0.3435653362217635,0.7311731971653037,0.9070658476184037
339451,214.7374902216553,0.17458371157464872,0.11582598073800537,1.5072931864013432,0.13173552330557964,0.4734645915993508
84069,38.87853017845546,0.06132658672016273,0.1934707953173963,0.3169811062158198,0.7512579386305367,0.9142937097560032
84808,3.8773741211068944,-0.34618455448742835,0.30993897736428494,-1.1169442366732156,0.26401816868992156,0.6267477600258446
57801,19.939778058844986,-0.14865469679968596,0.4652856544882493,-0.3194912530952321,0.7493540231450425,0.9135450136620286
9636,3568.810290402098,-0.925921224779443,0.40111066686472474,-2.3083934217379256,0.020977264544517798,0.24534013322163228
375790,706.1311382423468,0.11762318175539843,0.144829584227907,0.8121488602101075,0.4167062197256466,0.7439397623617178
100288175,221.07888845848558,0.15723760851691496,0.1595837632015933,0.985298287008594,0.3244775739024991,0.6790083485439574
112267874,52.10387263727745,0.11061242820735029,0.15689518851144274,0.705008415215251,0.4808049992376383,0.7881835404169273
105378948,158.97094172058544,0.11543400041562035,0.14326382235843668,0.8057442452345858,0.4203903320750918,0.7467740630422883
401934,1.3052475889748927,0.8144907311502196,0.6469718674647938,1.25892758574165,0.2080564888748745,
54991,275.2554533507509,0.13091550973360977,0.0816173814095039,1.6040150697405902,0.108710730899755,0.43762925312964945
254099,0.3690905644391913,1.3295662150410188,1.2347083030351331,1.0768261716331768,0.2815579308058954,
254173,1.0375271416331777,0.7744918168970276,0.6241533194118579,1.2408678970526574,0.21465455382123289,
8784,799.997416265016,0.3506868546943744,0.2039085486844954,1.7198241905835288,0.08546440398833204,0.3999902548933034
7293,2485.5892714552388,0.09521387753293112,0.09893620513479852,0.9623764869817293,0.3358605203802656,0.6876812907346351
51150,2779.911216553601,-0.0022253475480318538,0.05587979140271228,-0.03982383420142546,0.968233574356269,0.9905300598873986
126792,478.2075073994401,0.03968643665856333,0.0884760045134038,0.44855593193690124,0.6537520295501981,0.8753897719915925
388581,4.522226235493775,0.8150240257793278,0.34526776845912965,2.360556357219902,0.018247545478768248,0.23183680870381543
118424,1370.7459945991807,-0.05413133132504416,0.05689931451762075,-0.9513529606456086,0.3414252306300981,0.6921147434327812
